Notes,NAME,Common Name,Common_name_final,Common Name2,Name_matched_rank,Name_matched_accepted_family,Genus_matched,Specific_epithet_matched,Unmatched_terms,Taxonomic_status,Name_matched_url,Habit_pfaf,Habit_trop,Habit_Combined,Evergreen,Herb,Annual,Woodiness,N_Fixing,Height_pfaf,Height_trop,height (KEW),Growth,cultivation_trop,Polli,Height_combined,Min Rainfall,Max Rainfall,Min T°,max T°,,Soil,Shade,Moisture,Hardiness,Weed,fao_name_old,fao_group_old,fao_group,FAO_DB_africa,FAO_DB_Timber,FAO_spice,FAO_II,Ecocrop,FAO_GROUPII,FAO_Khoury,Timber,Medicinal,Alim,Part,alim_tropMEAN,medi_tropMEAN,other_tropMEAN,Profile,Hazards,Source,IUCN,Habitats,Range,Native_to,pollinators_trop,
,citrus × citrus × aurantium f. deliciosa,,,"Bitter Orange, Sour orange, Bergamot orange",species,Rutaceae,Citrus,aurantium,NA,Accepted,http://www.tropicos.org/Name/28100388,Tree,Evergreen Tree,Evergreen Tree,Evergreen,tree,Perennial,Woody,No,9,9.00  ,NA,NULL,Cultivated,insects,9,1000,NA,22,24-45,,medium -  heavy (clay),No shade,Moist,08-> 11,No,Oranges,Fruits,#N/A,#N/A,#N/A,#N/A,,,"Fruits, nuts, essential oil",#N/A,,medicinal,Alim,Woody Fruits,3,3,3.33333333333333,alimmediother,None known,pfaf.org,NA,"Original habitat is obscure, possibly a back cross involving C. maxima X C. reticulata[200].",Tropical Asia?,,"Apomictic, Insects (ferns)",#N/A
Only control species,citrus atirontifolia,,,,,,,,,,,,,NA,,Tree,Perennial,Woody,No,,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,,,,,,,,,,,NA,,,,,
,Citrus aurantifolia,NA,,#N/A,genus,Rutaceae,Citrus,NA,atirontifolia,Accepted,http://www.tropicos.org/Name/40009461,NA,NA,Evergreen Tree,Evergreen,Tree,Perennial,Woody,No,NULL,NA,NA,NULL,Cultivated,NA,5,NA,NA,NA,NA,,NA,NA,NA,10 -> 12,2,,#N/A,#N/A,#N/A,#N/A,Essential oil,,,"Fruits, nuts, essential oil",#N/A,,medicinal,Alim,Woody Fruits,"4,00","2,00","3,00",alimother,Plant has spines or sharp edges; use extreme caution when handling,NA,NA,Not known in a truly wild situation.,Tropical Asia.,,NA,#N/A
,Citrus aurantium,"Bitter Orange, Sour orange, Bergamot orange",Orange_bitter,"Bitter Orange, Sour orange, Bergamot orange",species,Rutaceae,Citrus,aurantium,NA,Accepted,http://www.tropicos.org/Name/28100388,Tree,Evergreen Tree,Evergreen Tree,Evergreen,tree,Perennial,Woody,No,9,9.00  ,NA,NULL,Cultivated,insects,9,1000,NA,22,24-45,,medium -  heavy (clay),No shade,Moist,08-> 11,No,Oranges,Fruits,#N/A,#N/A,#N/A,Essential oil,,,"Fruits, nuts, essential oil",#N/A,,medicinal,Alim,Woody Fruits,3,3,3.33333333333333,alimmediother,None known,pfaf.org,NA,"Original habitat is obscure, possibly a back cross involving C. maxima X C. reticulata[200].",Tropical Asia?,,"Apomictic, Insects (ferns)",#N/A
,citrus latifolia,,,Citrus Tahitian Lime,species,Rutaceae,Citrus,latifolia,NA,No opinion,http://www.worldfloraonline.org/taxon/wfo-0000608096,,Evergreen Tree,Evergreen Tree,Evergreen,Tree,Perennial,Woody,No,5,NA,NA,NA,Cultivated,NA,5,TODO,TODO,TODO,TODO,,"light (sandy), medium (loamy) and heavy (clay) soil",Semi-shade,Moist,09 -> 11,No,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,NO_FAO_GROUP,#N/A,,,Alim,Woody Fruits,3.5,2.0,2,alimmedi,Excessive exposure to the essential oil in the peel of the fruit may cause dermatitis [336 ]. Rolling the fruit between the hands before squeezing to extract more of the juice will coat the hands with oil and transfer this to whatever parts of the body are touched before washing the hands [336 ]. Subsequent exposure to sunlight often results in brown or red areas that itch intensely and sometimes severe blistering [336 ]. The tree sap and scratches by the thorns may cause a rash in sensitive individuals [336 ].,,NA,Not known in the wild,A species of garden origin.,,NA,#N/A
,Citrus limon,Lemon,Lemon,Lemon,species,Rutaceae,Citrus,limon,NA,Accepted,http://www.tropicos.org/Name/28101295,Shrub,Evergreen Shrub,Evergreen Shrub,Evergreen,Shrub,Perennial,Woody,No,3,3.00  ,NA,Medium,Cultivated,insects,3,NA,NA,NA,NA,,medium -  heavy (clay),No shade,Moist,08-> 11,No,Lemons and limes,Fruits,#N/A,#N/A,#N/A,"Spice, Essential oil",,,"Fruits, nuts, spices, essential oil",Fruits,,medicinal,Alim,Woody Fruits,4,5,3.66666666666667,alimmediother,Low potential for sensitization through skin contact with volatile oil [301].,pfaf.org,NA,"Original habitat is obscure, probably a hybrid involving C. medica x C. aurantifolia[200].","Original range is obscure, possible Asia.",,"Apomictic, Insects (ferns)",#N/A
,Citrus nobilis,NA,,#N/A,species,Rutaceae,Citrus,nobilis,NA,Synonym,http://www.tropicos.org/Name/28100682,NA,Evergreen Shrub,Evergreen Shrub,Evergreen,Shrub,Perennial,Woody,No,NULL,4.00  ,NA,NULL,Cultivated,insects,4,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Ecocrop,Fruits,#N/A,NA,NA,Alim,Woody Fruits,3,0,0,alim,NA,NA,NA,NA,NA,,"self-pollinated, insects",#N/A
,Citrus nobilis x Citrus deliciosa,NA,,#N/A,species,Rutaceae,Citrus,nobilis,x Citrus deliciosa,Synonym,http://www.tropicos.org/Name/28100682,evergreen shrub growing to 4 m,NA,Evergreen Tree,Evergreen,Tree,Perennial,Woody,No,NULL,NA,NA,NA,Wild,insects,9,NA,NA,NA,NA,,NA,Full sun,Moist,08-> 11,NA,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Ecocrop,Fruits,#N/A,Other,,Alim,Woody fruits,"3,00","0,00","4,00",alimother,None known,NA,NA,"Original habitat is obscure, possibly a back cross involving C. maxima X C. reticulata[200].",Tropical Asia?,,"Apomictic, Insects, self",#N/A
,Citrus reticulata,"Mandarin, Tangerine, Unshu orange, Satsuma Orange,Temple Orange, Tangerine",Clementine,"Mandarin, Tangerine, Unshu orange, Satsuma Orange,Temple Orange, Tangerine",species,Rutaceae,Citrus,reticulata,NA,Accepted,http://www.tropicos.org/Name/28100572,Tree,Evergreen Tree,Evergreen Tree,Evergreen,Tree,Perennial,Woody,No,"4,5",4.50  ,NA,NULL,Cultivated,insects,4.5,NA,NA,NA,NA,,medium -  heavy (clay),No shade,Moist,09-> 11,No,Oranges,Fruits,Oranges and mandarines,#N/A,#N/A,Essential oil,,,"Fruits, nuts, essential oil",Fruits,,medicinal,Alim,Woody Fruits,3.66666666666667,3,2,alimmedi,Avoid peel with dry cough or excessive red tongue or splitting blood [301].,pfaf.org,NA,Original habitat is obscure.,E. Asia - China or Indo-China.,,"Apomictic, Insects (ferns)",#N/A
,Citrus sinensis,Sweet Orange,Orange,Sweet Orange,species,Rutaceae,Citrus,sinensis,NA,Synonym,http://www.tropicos.org/Name/50149358,Tree,Evergreen Tree,Evergreen Tree,Evergreen,Tree,Perennial,Woody,No,9,9.00  ,NA,NULL,Cultivated,insects,9,900,2500,5,40,,medium -  heavy (clay),No shade,Moist,09-> 11,No,Oranges,Fruits,#N/A,#N/A,#N/A,Essential oil,,,"Fruits, nuts, essential oil",Fruits,,medicinal,Alim,Woody Fruits,4,3,2.33333333333333,alimmediother,None known,pfaf.org,NA,"Original habitat is obscure, possibly an introgressed hybrid of C. maxima x C. reticulata[200].","Original range is obscure, possible Asia in southern China and Vietnam.",,"Apomictic, Insects (ferns)",#N/A
,Citrus spp.,NA,,#N/A,genus,Rutaceae,Citrus,NA,sp.,Accepted,http://www.tropicos.org/Name/40009461,NA,NA,Evergreen Tree,Evergreen,Tree,Perennial,Woody,No,NULL,NA,NA,NULL,Cultivated,NA,NULL,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Ecocrop,Fruits,#N/A,NA,NA,Alim,Woody Fruits,NA,NA,NA,alimmediother,NA,NA,NA,NA,NA,,NA,#N/A
,Citrus X aurantium,"Bitter Orange, Sour orange, Bergamot orange",,"Bitter Orange, Sour orange, Bergamot orange",species,Rutaceae,Citrus,paradisi,NA,No opinion,http://www.tropicos.org/Name/28100571,Citrus aurantium is an evergreen Tree growing to 9 m,NA,Evergreen Tree,Evergreen,Tree,Perennial,Woody,No,NULL,NA,NA,NA,Wild,insects,9,1000,NA,22,24-45,,NA,Full sun,Moist,08-> 11,NO,Oranges,Fruits,Oranges,#N/A,#N/A,#N/A,,,Fruits,#N/A,Other,,Alim,Woody Fruits,"3,00","0,00","4,00",alimother,None known,NA,NA,"Original habitat is obscure, possibly a back cross involving C. maxima X C. reticulata[200].",Tropical Asia?,,"Apomictic, Insects, self",#N/A
,Citrus x aurantium f. deliciosa,"Bitter Orange, Sour orange, Bergamot orange",,"Bitter Orange, Sour orange, Bergamot orange",species,Rutaceae,Citrus,unshiu,NA,Synonym,http://www.tropicos.org/Name/28101459,Citrus aurantium is an evergreen Tree growing to 9 m,NA,Evergreen Tree,Evergreen,Tree,Perennial,Woody,No,NULL,NA,NA,NA,Wild,insects,9,NA,NA,NA,NA,,NA,Full sun,Moist,08-> 11,NO,Oranges,Fruits,#N/A,#N/A,#N/A,#N/A,,,Fruits,#N/A,Other,,Alim,Woody Fruits,"3,00","0,00","4,00",alimother,None known,NA,NA,"Original habitat is obscure, possibly a back cross involving C. maxima X C. reticulata[200].",Tropical Asia?,,"Apomictic, Insects, self",#N/A
,Clarisia racemosa,"Tulpay, Murur",,"Tulpay, Murur",NA,NA,NA,NA,NA,NA,NA,Tree,Semi-deciduous Tree,Semi-deciduous Tree,Semi-deciduous,tree,Perennial,Woody,No,25,25.00  ,NA,Medium,Wild,NA,25,NA,NA,NA,NA,,medium -  heavy (clay),Semi-shade/full sun,Moist,10 ->  12,NA,NA,#N/A,#N/A,#N/A,Timber,#N/A,,,Timber,#N/A,Timber,,,Timber mainly,0.333333333333333,0,4,alimother,None known,pfaf.org,LC - least concern,"A canopy tree in the rainforest, favouring clayey soils in areas not subject to inundation[ 341 , 625 ].","S. America - Brazil, Bolivia, Peru, Ecuador, Colombia, Venezuela, the Guyanas",,NA,#N/A
Only control species,clethra macrophylla,,,,,Clethraceae,Clethra,macrophylla,,,,,,NA,Evergreen/deciduous,herb,herb,herbaceous,No,,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,,,,,,,,,,,LC - least concern,,,,,
,clibadium arboretum,,,NA,species,Asteraceae,Clibadium,arboreum,NA,NA,http://www.worldfloraonline.org/taxon/wfo-0000078058,,NA,NA,NA,Shrub,NA,Woody,No,NULL,NA,NA,NA,NA,NA,4m,TODO,TODO,TODO,TODO,,NA,NA,NA,NA,NA,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,NO_FAO_GROUP,#N/A,,,,,NaN,NaN,NA,alimmediother,NA,,NA,NA,NA,NA,NA,#N/A
Only control species,coccoloba matudae,,,,,Polygonaceae,Coccoloba,matudae,,,,,,NA,,Tree,Perennial,Woody,No,,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,,,,,,,,,,,VU - vulnerable,,,,,
,Cocos nucifera,"Coconut Palm, Coconut",,"Coconut Palm, Coconut",species,Arecaceae,Cocos,nucifera,NA,Accepted,http://www.tropicos.org/Name/2400007,Tree,Evergreen Tree,Evergreen Tree,Evergreen,Tree,Perennial,Woody,No,25,25.00  ,NA,Medium,"Cultivated, Ornamental, Wild",Wind,25,1000,1500,20,28,,light (sandy) -medium -  heavy (clay),No shade,Moist,10 ->  12,Yes,Coconuts,Oil crops,Coconut,Fruit,Timber,#N/A,,,"Fruits, oil crop, Timber",Oil,Timber,,Alim,Woody Fruits,5,2,5,alimother,None known,pfaf.org,NA,"Commonly found along tropical seashores, sometimes extending inland on alluvial plains with a high water table, but avoiding waterlogged soils[ 297 ].",Pantropical.,,Wind,#N/A
,Coffea arabica,Coffee Arabica,Coffee,Coffee Arabica,species,Rubiaceae,Coffea,arabica,NA,Accepted,http://www.tropicos.org/Name/27900016,Shrub,Evergreen Shrub,Evergreen Shrub,Evergreen,Shrub,Perennial,Woody,No,6,7.00  ,NA,Medium,"Cultivated, Ornamental, Wild",bees,7,1500,2000,15,25,,medium -  heavy (clay),Semi-shade/full sun,Moist,09-> 11,No,Coffee green,Stimulants,#N/A,#N/A,#N/A,"Spice, Essential oil",,,Stimulant,#N/A,,medicinal,Alim,Woody Fruits,3,3,3,alimmediother,"The seeds contain chlorogenic acid, which is a known allergen[238].",pfaf.org,EN-Endangered,"An understorey tree in high elevation humid forests [303 , 307 ].",Africa - Tropical regions in the northeast.,,"Bees, Self",#N/A
,Coffea canephora,NA,,#N/A,species,Rubiaceae,Coffea,canephora,NA,Accepted,http://www.tropicos.org/Name/27900017,NA,Evergreen Tree,Evergreen Tree,Evergreen,Tree,Perennial,Woody,No,"3,5-8,5  ",8.00  ,NA,NULL,"Cultivated, Wild",Wind,8,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,#N/A,Coffee,#N/A,#N/A,"Spice, Essential oil",,,"Stimulant, aromatic, spices, essential oil",#N/A,,medicinal,Alim,Woody Fruits,3,2,2,alim,NA,NA,LC - least concern,NA,NA,,wind ((Purseglove 1968; Crane & Walker 1983; Free 1993),#N/A
,Coffea liberica,NA,,#N/A,species,Rubiaceae,Coffea,liberica,NA,Accepted,http://www.tropicos.org/Name/27900018,Small tree.,Evergreen Shrub,Evergreen Shrub,Evergreen,Shrub,Perennial,Woody,No,NULL,20.00  ,NA,NULL,"Cultivated, Wild",NA,20,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,#N/A,Coffee,#N/A,#N/A,#N/A,,,"Stimulant, spice, aromatic",#N/A,,medicinal,Alim,Woody fruits,3,2,2,alim,NA,NA,LC - least concern,NA,NA,,NA,#N/A
,Coffea sp.,NA,,#N/A,genus,Rubiaceae,Coffea,NA,sp.,Accepted,http://www.tropicos.org/Name/40011705,NA,NA,Evergreen Shrub/Tree,Evergreen,Shrub/tree,Perennial,Woody,No,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,#N/A,Coffee,#N/A,#N/A,#N/A,,,"Stimulant, spice, aromatic",#N/A,,medicinal,Alim,Woody fruits,NA,NA,NA,alimmediother,NA,NA,NA,NA,NA,,NA,#N/A
,Cola acuminata,"Cola Nut, Kola, Bissy Nut",,"Cola Nut, Kola, Bissy Nut",species,Malvaceae,Cola,acuminata,NA,Accepted,http://www.tropicos.org/Name/30401412,Tree,Evergreen Tree,Evergreen Tree,Evergreen,Tree,Perennial,Woody,No,20,20.00  ,NA,Medium,"Cultivated, Ornamental, Wild",Wind,20,NA,NA,NA,NA,,light (sandy) -medium -  heavy (clay),No shade,Moist,10 ->  12,No,Nuts nes,Nuts,#N/A,Fresh seed,#N/A,#N/A,,,"Stimulant, spice, aromatic",#N/A,,medicinal,Alim,Woody nuts,3,4,2,alimmedi,Parts of plant are poisonous if ingested,pfaf.org,LC - least concern,"An understorey tree in humid lowland forests[ 303 , 307 ].","Southern, western and central tropical Africa.",,wind (ferns),#N/A
,Cola nitida,"Cola Nut, Kola, Bissy Nuts",Cola,"Cola Nut, Kola, Bissy Nuts",species,Malvaceae,Cola,nitida,NA,Accepted,http://www.tropicos.org/Name/30401611,Tree,Evergreen Tree,Evergreen Tree,Evergreen,tree,Perennial,Woody,No,20,20.00  ,NA,Slow,"Cultivated, Ornamental, Wild",Wind,20,1200,1800,26,35,,light (sandy) -medium -  heavy (clay),Semi-shade/full sun,Dry- Moist,10 ->  12,No,Nuts nes,Nuts,#N/A,#N/A,#N/A,#N/A,,,Nuts,#N/A,,medicinal,,Woody nuts,3,4,2,alimmedi,None known,pfaf.org,LC - least concern,"Lowland forest, usually at elevations up to 300 metres, but also found up to 800 metres[ 324 , 418 ].","Western Tropical Africa - Sierra Leone, C‚àö¬•te d'Ivoire eastward to Ghana.",,wind (ferns),#N/A
,Colocasia esculenta,"Taro, Elephant Ears Taro, Dasheen, Eddo",Taro,"Taro, Elephant Ears Taro, Dasheen, Eddo",species,Araceae,Colocasia,esculenta,NA,Accepted,http://www.tropicos.org/Name/2102373,Perennial,Evergreen Perennial,Evergreen Perennial,Evergreen,herb,Perennial,herbaceous,No,1,1.00  ,NA,Medium,Cultivated,insects,1,,,,,,light (sandy) -medium -  heavy (clay),Semi-shade/full sun,Moist -Wet,09-> 11,Yes,Taro (Cocoyam),Roots and tubers,Taro,#N/A,#N/A,#N/A,,,"Root,tuber",Root and tuber,,,Alim,Root/tuber,4,2,0.333333333333333,alimother,"The plant contains calcium oxalate crystals. These cause an extremely unpleasant sensation similar to needles being stuck into the mouth and tongue if they are eaten, but they are easily neutralized by thoroughly drying or cooking the plant or by steeping it in water.(Parts of plant are poisonous if ingested)",pfaf.org,LC - least concern,"Not known in a truly wild situation, though it is often established in low lying areas along streams and river banks[ 200 ].","Widely cultivated in the tropics, its original range is uncertain but is probably tropical Asia.",,Insects,#N/A
,colocasia sp.,,,NA,genus,Araceae,Colocasia,,sp.,NA,http://www.worldfloraonline.org/taxon/wfo-4000008962,Perennial,Evergreen Perennial,Evergreen Perennial,Evergreen,herb,Perennial,herbaceous,No,1,1.00  ,NA,Medium,NA,insects,1,,,,,,light (sandy) -medium -  heavy (clay),Semi-shade/full sun,Moist -Wet,09-> 11,Yes,Taro (Cocoyam),Roots and tubers,#N/A,#N/A,#N/A,#N/A,,,"Root,tuber",#N/A,,,Alim,Root/tuber,4,2,0.333333333333333,alimother,"The plant contains calcium oxalate crystals. These cause an extremely unpleasant sensation similar to needles being stuck into the mouth and tongue if they are eaten, but they are easily neutralized by thoroughly drying or cooking the plant or by steeping it in water.(Parts of plant are poisonous if ingested)",pfaf.org,LC - least concern,"Not known in a truly wild situation, though it is often established in low lying areas along streams and river banks[ 200 ].","Widely cultivated in the tropics, its original range is uncertain but is probably tropical Asia.",,Insects,#N/A
,Colophospermum mopane,"Rhodesian ironwood, Rhodesian mahogany",,"Rhodesian ironwood, Rhodesian mahogany",NA,NA,NA,NA,NA,NA,NA,Tree,Deciduous Tree,Deciduous Tree,Deciduous,tree,Perennial,Woody,No,12,12.00  ,NA,Slow,"Cultivated, Wild",NA,12,200,800,-3,50,,light (sandy) -medium -  heavy (clay),Semi-shade/full sun,Moist -Wet,10 ->  12,NA,NA,#N/A,#N/A,#N/A,Timber,#N/A,,,Timber,#N/A,Timber,,,Woody shoot,1,2,3,other,None known,pfaf.org,LC - least concern,"The dominant species over great areas in hot, dry, low-lying areas",NA,,NA,#N/A
Only control species,conostegia volcanalis,,,,,Melastomataceae,Conostegia,volcanalis,,,,,,NA,,Tree,Perennial,Woody,No,,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,,,,,,,,,,,LC - least concern,,,,,
,Convolvulus arvensis,Field Bindweed,,Field Bindweed,species,Convolvulaceae,Convolvulus,arvensis,NA,Accepted,http://www.tropicos.org/Name/8500005,Perennial Climber,NA,Perennial Climber,NA,herb climber,Perennial,herbaceous,No,2,NA,NA,NULL,Wild,"Bees, Flies",2,,,,,,light (sandy) -medium,Semi-shade/full sun,Dry- Moist,04->08,Yes,NA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,NO_FAO_GROUP,#N/A,NA,NA,NA,NA,1,2,1,,None known,pfaf.org,NA,"Hedgerows, fields, waste places, fences etc[7, 100], it can be a troublesome weed of agriculture.","Throughout the temperate regions of both Hemishperes, including Britain.",,"Bees, Flies, Self",#N/A
,Corchorus olitorius,"ew's Mallow, Nalta jute",Jute,"ew's Mallow, Nalta jute",species,Malvaceae,Corchorus,olitorius,NA,Accepted,http://www.tropicos.org/Name/32200006,Annual/Perennial,Annual/Perennial,Annual/Perennial,herbaceous,herb,Annual/Perennial,herbaceous,No,"3,5",3.50  ,NA,Fast,Cultivated,insects,3.5,,,,,,light (sandy) -medium -  heavy (clay),No shade,Moist,09-> 11,No,Jute,Fibres,,#N/A,#N/A,#N/A,,,NO_FAO_GROUP,#N/A,NA,NA,Alim,"Leaves, seeds",4,2,4,alimother,None known,pfaf.org,NA,Original habitat is obscure.,"Probably originating in Africa, though possibly in India and Myanmar, the plant is widely grown through much of the tropics.",,"Self, Insects",#N/A
,Cordia africana,NA,,#N/A,species,Cordiaceae,Cordia,africana,NA,Accepted,http://www.tropicos.org/Name/4001325,NA,Evergreen Tree,Evergreen Tree,Evergreen,Tree,Perennial,Woody,No,NULL,10.00  ,NA,NULL,"Cultivated, Ornamental, Wild",bees,10,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,#N/A,#N/A,#N/A,Timber,#N/A,,,Timber,#N/A,Timber,,,Woody shoot,3,2,3,alimother,NA,NA,LC - least concern,NA,NA,,Bees,#N/A
,Cordia alliodora,"Ecuador laurel, Cypre, Onion Cordia, Laurel Blanco",,"Ecuador laurel, Cypre, Onion Cordia, Laurel Blanco",NA,NA,NA,NA,NA,NA,NA,Tree,Semi-deciduous Tree,Semi-deciduous Tree,Semi-deciduous,tree,Perennial,Woody,No,30,30.00  ,NA,Fast,"Cultivated, Ornamental, Wild","Lepidoptera, Bees",30,750,2000,24,NA,,light (sandy) -medium -  heavy (clay),No shade,Moist,10 ->  12,NA,NA,#N/A,#N/A,#N/A,Timber,#N/A,,,Timber,#N/A,Timber,,,Timber mainly,2,2,4,other,None known,pfaf.org,LC - least concern,"Dry and wet forest[ 310 ]. A pioneer plant, it is found in a wide range of habitats from sea level up to 1,000 metres, occasionally to 2,000 metres[ 310 ].","S America - Argentina, Brazil, Bolivia, Peru, Ecuador, Colombia, Venezuela, the Guyanas",,"Lepidoptera, Bees",#N/A
,cordia ecalyculata,,,NA,species,Boraginaceae,Cordia,ecalyculata,NA,NA,http://www.worldfloraonline.org/taxon/wfo-0000620441,,NA,Evergreen Tree,Evergreen,tree,Perennial,Woody,No,NULL,NA,NA,Medium,Wild,NA,10,TODO,TODO,TODO,TODO,,NA,NA,NA,NA,NA,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,NO_FAO_GROUP,#N/A,,,,,2,3,2,medi,None known,,NA,"An understorey tree in dense primary and secondary semi-deciduous forests, growing in moist, fertile soils","S. America - Argentina, Paraguay, southern and eastern Brazil.",,NA,#N/A
,Cordia goeldiana,NA,,#N/A,species,Cordiaceae,Cordia,goeldiana,NA,Accepted,http://www.tropicos.org/Name/4000293,NA,Semi-deciduous Tree,Semi-deciduous Tree,Semi-deciduous,Tree,Perennial,Woody,No,NULL,15.00  ,NA,NULL,"Ornamental, Wild","bees, moths, butterflies, syrphid ",15,600,3000,20,35,,NA,NA,NA,NA,NA,,#N/A,#N/A,#N/A,Timber,#N/A,,,Timber,#N/A,Timber,,,Woody shoot,1,0,3,other,NA,NA,NA,NA,NA,,"bees, moths, butterflies and syrphid ",#N/A
,Cordia myxa,NA,,#N/A,species,Cordiaceae,Cordia,myxa,NA,Accepted,http://www.tropicos.org/Name/4001965,NA,Evergreen Shrub,Evergreen Shrub,Evergreen,Shrub,Perennial,Woody,No,6-12,12.00  ,NA,NULL,"Cultivated, Ornamental, Wild",insects,12,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,NO_FAO_GROUP,#N/A,NA,NA,NA,NA,3,3,2,alimmedi,NA,NA,LC - least concern,NA,NA,,Insects,#N/A
,Cordia spp.,NA,,#N/A,genus,Cordiaceae,Cordia,NA,spp.,Accepted,http://www.tropicos.org/Name/40014011,NA,NA,Evergreen Tree,Evergreen,Tree,Perennial,Woody,No,NULL,NA,NA,NULL,"Ornamental, Wild","bees, buterflies",NULL,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,NO_FAO_GROUP,#N/A,NA,NA,NA,NA,NA,NA,NA,alimmediother,NA,NA,NA,NA,NA,,bees and butterflies,#N/A
,coreopsis palmata,,,NA,species,Asteraceae,Coreopsis,palmata,NA,NA,http://www.worldfloraonline.org/taxon/wfo-0000044527,,NA,Annual,Evergreen,herb,Annual,herbaceous,No,NULL,NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,NO_FAO_GROUP,#N/A,,,,,NaN,NaN,NA,alimmediother,NA,,NA,NA,NA,,NA,#N/A
,coriandrum sativum,,,"Coriander - Dhania - Cilantro, Coriander",species,Apiaceae,Coriandrum,sativum,NA,NA,http://www.worldfloraonline.org/taxon/wfo-0000621274,,Annual,Annual,Annual,herb,Annual,herbaceous,No,0.5,NA,NA,NA,"Ornamental, Wild",insects,0.5,NA,NA,NA,NA,,NA,semi-xhade,Moist,02 -> 11,No,,#N/A,"Spices, Other",#N/A,#N/A,"Spice, Essential oil, O, E",#N/A,,"Spice, essential oil",Herbs and spices,,,Alim,leaves,4.0,3.5,"3,5",alimmediother,The plant can have a narcotic effect if it is eaten in very large quantities[201]. Powdered coriander and oil may cause allergic reactions and photosensitivity. Use dry coriander sparingly if suffering bronchial asthma and chronic bronchitis [301],,NA,"Waste places and arable land, often by the sides of rivers[4, 9].",S. Europe. Naturalized in Britain[17].,,Insects,#N/A
,Cornus sanguinea,"Dogwood, Bloodtwig dogwood",,"Dogwood, Bloodtwig dogwood",species,Cornaceae,Cornus,sanguinea,NA,Accepted,http://www.tropicos.org/Name/8700019,Shrub,NA,Deciduous Shrub,Deciduous,Shrub,Perennial,Woody,No,3,NA,NA,NULL,"Ornamental, Wild",insects,3,NA,NA,NA,NA,,light (sandy) -medium -  heavy (clay),Semi-shade/full sun,Moist,04->08,No,NA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,NO_FAO_GROUP,#N/A,NA,NA,NA,NA,2,1,3,other,"Contrary to some reports, the fruit is not poisonous, but the leaves can cause skin irritations to sensitive people[65].",pfaf.org,NA,"Mixed woods, scrub and hedgerows, especially on calcareous soils[7, 13, 186].","Europe, including Britain, from Scandanavia to Spain, east to Sicily and Greece. Rare in S.W. Asia..",,insects,#N/A
,Corylus avellana,"Common Hazel, Common filbert, European Filbert, Harry Lauder's Walking Stick, Corkscrew Hazel, Hazel",Hazelnut,"Common Hazel, Common filbert, European Filbert, Harry Lauder's Walking Stick, Corkscrew Hazel, Hazel",species,Betulaceae,Corylus,avellana,NA,Accepted,https://wcvp.science.kew.org/taxon/295446-1,Tree,NA,Deciduous Tree,Deciduous,Tree,Perennial,Woody,No,6,NA,NA,Medium,Wild,wind,6,NA,NA,NA,NA,,light (sandy) -medium -  heavy (clay),Semi-shade/full sun,Moist,04->08,No,,#N/A,#N/A,#N/A,Timber,#N/A,,,"Fruits, nuts, timber",Nut,Timber,,Alim,Woody Fruits,5,2,5,alimother,None known,pfaf.org,LC - least concern,"Woods and hedgerows, especially on the slopes of hills, often on calcareous soils[7, 17].","Europe, including Britain, from Norway to Spain and east to W. Asia.",,"Wind, self fertile",#N/A
